pl,po,st,mt
3,5,0.0003669261932373047,0.17679905891418457
3,7,0.0003597736358642578,0.1698455810546875
3,9,0.0003695487976074219,0.17402172088623047
3,11,0.0003628730773925781,0.1744835376739502
3,13,0.0003681182861328125,0.16939425468444824
3,15,0.0003693103790283203,0.1703352928161621
3,17,0.00035953521728515625,0.17234063148498535
3,19,0.00035953521728515625,0.1700441837310791
3,21,0.0003674030303955078,0.170670747756958
3,23,0.0003628730773925781,0.1706845760345459
3,25,0.0003674030303955078,0.1717207431793213
3,27,0.00036597251892089844,0.17034506797790527
3,29,0.00036072731018066406,0.17132353782653809
3,31,0.000362396240234375,0.17595624923706055
3,33,0.0003590583801269531,0.17538237571716309
3,35,0.000377655029296875,0.1833057403564453
3,37,0.0003650188446044922,0.17203927040100098
3,39,0.0003745555877685547,0.17299890518188477
3,41,0.0003535747528076172,0.17097139358520508
3,43,0.0003743171691894531,0.17494869232177734
3,45,0.0003688335418701172,0.17391300201416016
3,47,0.00037217140197753906,0.17065024375915527
3,49,0.0003609657287597656,0.17461943626403809
3,51,0.000377655029296875,0.1752481460571289
3,53,0.00036334991455078125,0.174468994140625
3,55,0.0003867149353027344,0.1811225414276123
3,57,0.0003814697265625,0.17197942733764648
3,59,0.00037026405334472656,0.17163753509521484
3,61,0.0003752708435058594,0.17821145057678223
3,63,0.00036716461181640625,0.17429065704345703
3,65,0.0003612041473388672,0.17020511627197266
3,67,0.00039386749267578125,0.17319917678833008
3,69,0.0003974437713623047,0.18049287796020508
3,71,0.00036716461181640625,0.18098092079162598
3,73,0.0003733634948730469,0.1747581958770752
3,75,0.00036907196044921875,0.17303991317749023
3,77,0.0003769397735595703,0.17321515083312988
3,79,0.0003712177276611328,0.1730959415435791
3,81,0.00037026405334472656,0.17458653450012207
3,83,0.00037407875061035156,0.17680072784423828
3,85,0.00037932395935058594,0.17478680610656738
3,87,0.0003654956817626953,0.1735389232635498
3,89,0.00037670135498046875,0.1757643222808838
3,91,0.0003685951232910156,0.17806649208068848
3,93,0.00035691261291503906,0.1754004955291748
3,95,0.0003609657287597656,0.17107105255126953
3,97,0.0003676414489746094,0.17201757431030273
3,99,0.0003674030303955078,0.17148470878601074
5,1,0.000377655029296875,0.17204928398132324
5,3,0.0003695487976074219,0.17334222793579102
5,5,0.0003962516784667969,0.1737675666809082
5,7,0.0004012584686279297,0.17760777473449707
5,9,0.0003745555877685547,0.1741640567779541
5,11,0.0003859996795654297,0.17619895935058594
5,13,0.0003619194030761719,0.17692327499389648
5,15,0.00035262107849121094,0.17277050018310547
5,17,0.00037169456481933594,0.17108392715454102
5,19,0.00037360191345214844,0.17337703704833984
5,21,0.0003917217254638672,0.17539000511169434
5,23,0.00037670135498046875,0.17477059364318848
5,25,0.0003731250762939453,0.1719052791595459
5,27,0.0003609657287597656,0.1728954315185547
5,29,0.0003643035888671875,0.17141151428222656
5,31,0.0003638267517089844,0.16994190216064453
5,33,0.0003752708435058594,0.17220568656921387
5,35,0.0003654956817626953,0.17023992538452148
5,37,0.00037097930908203125,0.170579195022583
5,39,0.00036406517028808594,0.17423629760742188
5,41,0.00037169456481933594,0.17457294464111328
5,43,0.0003726482391357422,0.17374110221862793
5,45,0.00035643577575683594,0.16990995407104492
5,47,0.0003688335418701172,0.17009449005126953
5,49,0.00037479400634765625,0.170335054397583
5,51,0.0003662109375,0.17027831077575684
5,53,0.0003724098205566406,0.17269635200500488
5,55,0.0003571510314941406,0.17046809196472168
5,57,0.00036597251892089844,0.17019867897033691
5,59,0.0003638267517089844,0.17045950889587402
5,61,0.00036835670471191406,0.16955852508544922
5,63,0.00036716461181640625,0.16968083381652832
5,65,0.00036406517028808594,0.16932010650634766
5,67,0.0003604888916015625,0.17171955108642578
5,69,0.000377655029296875,0.16956567764282227
5,71,0.00035953521728515625,0.17039990425109863
5,73,0.00037384033203125,0.17011332511901855
5,75,0.0003635883331298828,0.16968226432800293
5,77,0.0003685951232910156,0.17159152030944824
5,79,0.00036907196044921875,0.16943645477294922
5,81,0.00035858154296875,0.1696479320526123
5,83,0.00035858154296875,0.1696484088897705
5,85,0.0003650188446044922,0.17161178588867188
5,87,0.00035643577575683594,0.16954255104064941
5,89,0.0003619194030761719,0.16973447799682617
5,91,0.0003650188446044922,0.16977787017822266
5,93,0.0003592967987060547,0.16999220848083496
5,95,0.00037026405334472656,0.17061161994934082
5,97,0.00036907196044921875,0.16985130310058594
5,99,0.00037169456481933594,0.16988897323608398
7,1,0.0003752708435058594,0.16995811462402344
7,3,0.00036597251892089844,0.16968512535095215
7,5,0.0003650188446044922,0.16968727111816406
7,7,0.0003592967987060547,0.1703181266784668
7,9,0.0003597736358642578,0.1757955551147461
7,11,0.00037288665771484375,0.172868013381958
